Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,8223.0,7214.0,7839.0,6413.0,5145.0,5312.0,3707.0,4406.0,4786.0,3001.0,88.0,92.0,74.0,68.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,294.0,308.0,231.0,114.0,66.0,58.0,68.0,76.0,60.0,43.0,1.0,5.0,0.0,2.0
1735401,Nukus shahri,Город Нукус,Nukus city,27.0,23.0,20.0,12.0,2.0,3.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,30.0,34.0,26.0,10.0,3.0,6.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,27.0,34.0,30.0,13.0,1.0,7.0,7.0,12.0,8.0,4.0,0.0,1.0,0.0,0.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,11.0,17.0,12.0,8.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,33.0,35.0,20.0,8.0,8.0,10.0,9.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,2.0,10.0,6.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,6.0,6.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1735225,Nukus tumani,Нукусский район,Nukus district,9.0,7.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,15.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,5.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,28.0,38.0,22.0,7.0,10.0,6.0,13.0,18.0,12.0,9.0,0.0,0.0,0.0,0.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,32.0,26.0,18.0,15.0,12.0,12.0,15.0,12.0,2.0,5.0,0.0,1.0,0.0,1.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,23.0,23.0,15.0,4.0,7.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,9.0,8.0,6.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,31.0,25.0,29.0,13.0,6.0,3.0,7.0,11.0,13.0,7.0,0.0,0.0,0.0,1.0
1703,Andijon viloyati,Андижанская область,Andijan region,1032.0,807.0,696.0,651.0,502.0,590.0,300.0,373.0,420.0,268.0,4.0,3.0,4.0,7.0
