Names,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Category
Republic of Uzbekistan,8223.0,7214.0,7839.0,6413.0,5145.0,5312.0,3707.0,4406.0,4786.0,3001.0,88.0,92.0,74.0,68.0,Republic
Republic of Karakalpakstan,294.0,308.0,231.0,114.0,66.0,58.0,68.0,76.0,60.0,43.0,1.0,5.0,0.0,2.0,Republic
Nukus city,27.0,23.0,20.0,12.0,2.0,3.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,City
Amudarya district,30.0,34.0,26.0,10.0,3.0,6.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,District
Beruniy  district,27.0,34.0,30.0,13.0,1.0,7.0,7.0,12.0,8.0,4.0,0.0,1.0,0.0,0.0,District
Bozatau district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,District
Karauzak district,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,District
Kegeyli district,11.0,17.0,12.0,8.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,District
Kungrad district,33.0,35.0,20.0,8.0,8.0,10.0,9.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,District
Kanlykul district,2.0,10.0,6.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,District
Muynak district,6.0,6.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,District
Nukus district,9.0,7.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,District
Takhiatash district,15.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,District
Takhtakupyr district,5.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,District
Turtkul district,28.0,38.0,22.0,7.0,10.0,6.0,13.0,18.0,12.0,9.0,0.0,0.0,0.0,0.0,District
Khojeyli district,32.0,26.0,18.0,15.0,12.0,12.0,15.0,12.0,2.0,5.0,0.0,1.0,0.0,1.0,District
Chimbay district,23.0,23.0,15.0,4.0,7.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,District
Shumanai district,9.0,8.0,6.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,District
Ellikkala district,31.0,25.0,29.0,13.0,6.0,3.0,7.0,11.0,13.0,7.0,0.0,0.0,0.0,1.0,District
Andijan region,1032.0,807.0,696.0,651.0,502.0,590.0,300.0,373.0,420.0,268.0,4.0,3.0,4.0,7.0,Region
Andijan city,270.0,238.0,192.0,140.0,117.0,119.0,92.0,75.0,97.0,85.0,0.0,0.0,0.0,1.0,City
Khanabadcity,15.0,5.0,6.0,5.0,3.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,City
Altynkul  district,62.0,48.0,37.0,29.0,14.0,26.0,10.0,17.0,29.0,9.0,0.0,0.0,0.0,0.0,District
Andijan district,103.0,72.0,72.0,62.0,44.0,53.0,19.0,24.0,31.0,26.0,0.0,0.0,0.0,0.0,District
